cell_type	gene	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
Macrophage	BORCS6	0.022767523	0.872216074	1	pseudobulk	edgeR	LRT
Macrophage	BORCS7	0.125744542	0.335210718	0.851938212	pseudobulk	edgeR	LRT
Macrophage	BORCS8	-0.059042173	0.715893673	1	pseudobulk	edgeR	LRT
Macrophage	BORCS8-MEF2B	-0.623554248	0.474316127	0.963296389	pseudobulk	edgeR	LRT
Macrophage	BPGM	-0.052100545	0.680885439	1	pseudobulk	edgeR	LRT
Macrophage	BPHL	-0.2967429	0.065701525	0.680846621	pseudobulk	edgeR	LRT
Macrophage	BPI	0.572486185	0.448273108	0.945829487	pseudobulk	edgeR	LRT
Macrophage	BPIFA1	-1.594936707	0.264643996	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BPIFA2	-1.702898914	0.026580577	0.541071525	pseudobulk	edgeR	LRT
Macrophage	BPIFB1	-0.485657577	0.482865422	0.968168488	pseudobulk	edgeR	LRT
Macrophage	BPIFB2	-0.935798952	0.361654199	0.878577403	pseudobulk	edgeR	LRT
Macrophage	BPIFB4	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BPNT1	-0.380246133	0.03015743	0.562451745	pseudobulk	edgeR	LRT
Macrophage	BPTF	0.022335505	0.871653312	1	pseudobulk	edgeR	LRT
Macrophage	BRAF	-0.138925199	0.341701231	0.859161151	pseudobulk	edgeR	LRT
Macrophage	BRAP	-0.152727959	0.299022663	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BRAT1	-0.080298213	0.628270642	1	pseudobulk	edgeR	LRT
Macrophage	BRCA1	-0.150493512	0.494335001	0.973291953	pseudobulk	edgeR	LRT
Macrophage	BRCA2	-0.413622507	0.038056395	0.596933466	pseudobulk	edgeR	LRT
Macrophage	BRCC3	0.275675108	0.084288552	0.690844879	pseudobulk	edgeR	LRT
Macrophage	BRD1	-0.108465345	0.495033826	0.973526509	pseudobulk	edgeR	LRT
Macrophage	BRD2	-0.129647895	0.389405566	0.902858315	pseudobulk	edgeR	LRT
Macrophage	BRD3	0.043158825	0.753840372	1	pseudobulk	edgeR	LRT
Macrophage	BRD3OS	0.423427897	0.892430501	1	pseudobulk	edgeR	LRT
Macrophage	BRD4	-0.045699019	0.676392202	1	pseudobulk	edgeR	LRT
Macrophage	BRD7	0.049825465	0.710626986	1	pseudobulk	edgeR	LRT
Macrophage	BRD8	-0.06003635	0.700829559	1	pseudobulk	edgeR	LRT
Macrophage	BRD9	0.121182989	0.532208618	0.995914927	pseudobulk	edgeR	LRT
Macrophage	BRDT	-0.165833279	0.82790038	1	pseudobulk	edgeR	LRT
Macrophage	BRE	0.049173496	0.873358157	1	pseudobulk	edgeR	LRT
Macrophage	BRF1	0.223112705	0.214874203	0.796083213	pseudobulk	edgeR	LRT
Macrophage	BRF2	0.020047898	0.920085166	1	pseudobulk	edgeR	LRT
Macrophage	BRI3	0.200330263	0.300982184	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BRI3BP	-0.125316288	0.401092886	0.91287432	pseudobulk	edgeR	LRT
Macrophage	BRICD5	-0.486807306	0.092753622	0.712926476	pseudobulk	edgeR	LRT
Macrophage	BRINP1	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BRINP2	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BRINP3	0.636716638	0.197412562	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BRIP1	-0.209242209	0.641279946	1	pseudobulk	edgeR	LRT
Macrophage	BRIX1	-0.269986067	0.122805542	0.756645391	pseudobulk	edgeR	LRT
Macrophage	BRK1	-0.057480004	0.55109131	1	pseudobulk	edgeR	LRT
Macrophage	BRMS1	-0.104454787	0.394368578	0.907673712	pseudobulk	edgeR	LRT
Macrophage	BRMS1L	0.327374531	0.065481812	0.680846621	pseudobulk	edgeR	LRT
Macrophage	BROX	-0.087290941	0.532516601	0.995914927	pseudobulk	edgeR	LRT
Macrophage	BRPF1	0.027113351	0.881518097	1	pseudobulk	edgeR	LRT
Macrophage	BRPF3	-0.292894165	0.191766268	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BRSK1	-0.174485185	0.64993674	1	pseudobulk	edgeR	LRT
Macrophage	BRSK2	0.646121164	0.409516163	0.918424764	pseudobulk	edgeR	LRT
Macrophage	BRWD1	0.125293169	0.38866084	0.902562184	pseudobulk	edgeR	LRT
Macrophage	BRWD1-AS2	-0.194280935	0.580418415	1	pseudobulk	edgeR	LRT
Macrophage	BRWD3	0.123475721	0.48264032	0.968142143	pseudobulk	edgeR	LRT
Macrophage	BSCL2	-0.312056204	0.381013087	0.895357884	pseudobulk	edgeR	LRT
Macrophage	BSDC1	-0.239374146	0.058718182	0.672574052	pseudobulk	edgeR	LRT
Macrophage	BSG	-0.195549668	0.195247379	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BSN	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BSN-AS2	0.372921133	0.699401483	1	pseudobulk	edgeR	LRT
Macrophage	BSN-DT	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BSND	0.713067447	0.188673775	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BSPRY	0.673833718	0.201459143	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BST1	0.014877459	0.93065411	1	pseudobulk	edgeR	LRT
Macrophage	BST2	0.056569752	0.699817304	1	pseudobulk	edgeR	LRT
Macrophage	BTAF1	0.129382932	0.515816772	0.986252608	pseudobulk	edgeR	LRT
Macrophage	BTBD1	0.118734891	0.46944048	0.960911713	pseudobulk	edgeR	LRT
Macrophage	BTBD10	-0.098261305	0.42101027	0.925149746	pseudobulk	edgeR	LRT
Macrophage	BTBD11	-0.235294406	0.734253053	1	pseudobulk	edgeR	LRT
Macrophage	BTBD16	-0.617856769	0.291032887	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BTBD19	-0.077200806	0.706030494	1	pseudobulk	edgeR	LRT
Macrophage	BTBD2	-0.042936794	0.793723962	1	pseudobulk	edgeR	LRT
Macrophage	BTBD3	0.143284318	0.406998683	0.917113034	pseudobulk	edgeR	LRT
Macrophage	BTBD6	0.047407299	0.856677861	1	pseudobulk	edgeR	LRT
Macrophage	BTBD7	0.061615362	0.619655543	1	pseudobulk	edgeR	LRT
Macrophage	BTBD8	-0.897186926	0.073766263	0.680846621	pseudobulk	edgeR	LRT
Macrophage	BTBD9	0.149880722	0.467008164	0.959368274	pseudobulk	edgeR	LRT
Macrophage	BTC	-0.771740888	0.352236026	0.871054711	pseudobulk	edgeR	LRT
Macrophage	BTD	-0.299766913	0.152585216	0.766334902	pseudobulk	edgeR	LRT
Macrophage	BTF3	-0.102131816	0.304162051	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BTF3L4	-0.112844721	0.295128859	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BTG1	0.077434608	0.670348841	1	pseudobulk	edgeR	LRT
Macrophage	BTG2	-0.420337693	0.061229826	0.680846621	pseudobulk	edgeR	LRT
Macrophage	BTG3	-0.137849785	0.507276932	0.979924126	pseudobulk	edgeR	LRT
Macrophage	BTG4	-0.905292536	0.152076352	0.765690324	pseudobulk	edgeR	LRT
Macrophage	BTK	-0.286048727	0.076732761	0.680846621	pseudobulk	edgeR	LRT
Macrophage	BTLA	0.196998745	0.812027006	1	pseudobulk	edgeR	LRT
Macrophage	BTN2A1	-0.14486489	0.496243967	0.973526509	pseudobulk	edgeR	LRT
Macrophage	BTN2A2	-0.441341956	0.049177645	0.631235803	pseudobulk	edgeR	LRT
Macrophage	BTN3A1	-0.20990376	0.26867441	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BTN3A2	-0.164598985	0.573970025	1	pseudobulk	edgeR	LRT
Macrophage	BTN3A3	-0.445723129	0.014384781	0.438886126	pseudobulk	edgeR	LRT
Macrophage	BTNL3	-0.561404938	0.530197935	0.994461324	pseudobulk	edgeR	LRT
Macrophage	BTNL8	-2.006209488	0.00137148	0.173998105	pseudobulk	edgeR	LRT
Macrophage	BTNL9	-0.511320257	0.443932043	0.942698395	pseudobulk	edgeR	LRT
Macrophage	BTRC	0.10185588	0.567255686	1	pseudobulk	edgeR	LRT
Macrophage	BUB1	0.032158592	0.926062912	1	pseudobulk	edgeR	LRT
Macrophage	BUB1B	0.364777816	0.323811346	0.840345173	pseudobulk	edgeR	LRT
Macrophage	BUB3	-0.238195984	0.14305376	0.756645391	pseudobulk	edgeR	LRT
Macrophage	BUD13	-0.201262386	0.230481399	0.816644948	pseudobulk	edgeR	LRT
Macrophage	BUD23	0.604589004	0.836858941	1	pseudobulk	edgeR	LRT
Macrophage	BUD31	-0.033579017	0.796662326	1	pseudobulk	edgeR	LRT
Macrophage	BVES	-0.376057466	0.656557388	1	pseudobulk	edgeR	LRT
Macrophage	BVES-AS1	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BX004987.4	-0.181422147	0.789925507	1	pseudobulk	edgeR	LRT
Macrophage	BX005040.1	-1.909533016	0.132156372	0.756645391	pseudobulk	edgeR	LRT
Macrophage	BX005214.2	-1.278517882	0.075850503	0.680846621	pseudobulk	edgeR	LRT
Macrophage	BX005266.2	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BX088651.4	-0.953123629	0.144552489	0.756645391	pseudobulk	edgeR	LRT
Macrophage	BX255923.3	0.600739312	0.422294883	0.925727545	pseudobulk	edgeR	LRT
Macrophage	BX255925.3	0.464660118	0.892028626	1	pseudobulk	edgeR	LRT
Macrophage	BX284668.5	0.59539119	0.840117784	1	pseudobulk	edgeR	LRT
Macrophage	BX284668.6	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BX293535.1	1.452849207	0.053694846	0.647955639	pseudobulk	edgeR	LRT
Macrophage	BX322234.1	-0.455799538	0.536048171	0.995914927	pseudobulk	edgeR	LRT
Macrophage	BX323046.1	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BX324167.1	-0.544566714	0.300231856	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BX470102.1	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BX470102.3	-1.877037922	0.211098951	0.790739827	pseudobulk	edgeR	LRT
Macrophage	BX537318.1	-0.705457327	0.802375755	1	pseudobulk	edgeR	LRT
Macrophage	BX547991.1	-0.544566714	0.300231856	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BX640514.2	0	1	1	pseudobulk	edgeR	LRT
